member_id,member_name,member_begin_date,congress,chamber,committee_id,subcommittee_id
M001183,Joe Manchin III,2019-02-05,116,senate,SSEG,SSEG01
D000622,Tammy Duckworth,,116,senate,SSEV,SSEV15
C001047,Shelley Moore Capito,,116,senate,SSEV,SSEV15
C000141,Benjamin L. Cardin,,116,senate,SSEV,SSEV15
S001198,Dan Sullivan,,116,senate,SSEV,SSEV15
W000802,Sheldon Whitehouse,,116,senate,SSEV,SSEV15
B001236,John Boozman,,116,senate,SSEV,SSEV15
W000437,Roger Wicker,,116,senate,SSEV,SSEV15
V000128,Chris Van Hollen,,116,senate,SSEV,SSEV15
S000320,Richard C. Shelby,,116,senate,SSEV,SSEV15
C000174,Thomas R. Carper,,116,senate,SSEV,SSEV15
B001261,John Barrasso,,116,senate,SSEV,SSEV15
R000605,Mike Rounds,2019-01-28,116,senate,SSEV,SSEV09
B001288,Cory Booker,,116,senate,SSEV,SSEV09
I000024,James M. Inhofe,,116,senate,SSEV,SSEV09
S000320,Richard C. Shelby,,116,senate,SSEV,SSEV09
C000174,Thomas R. Carper,,116,senate,SSEV,SSEV09
B001261,John Barrasso,,116,senate,SSEV,SSEV09
W000802,Sheldon Whitehouse,,116,senate,SSEV,SSEV10
I000024,James M. Inhofe,,116,senate,SSEV,SSEV10
C000141,Benjamin L. Cardin,,116,senate,SSEV,SSEV10
C001047,Shelley Moore Capito,,116,senate,SSEV,SSEV10
R000605,Mike Rounds,,116,senate,SSEV,SSEV10
S001198,Dan Sullivan,,116,senate,SSEV,SSEV10
B001288,Cory Booker,,116,senate,SSEV,SSEV10
B001236,John Boozman,,116,senate,SSEV,SSEV10
W000437,Roger Wicker,,116,senate,SSEV,SSEV10
D000622,Tammy Duckworth,,116,senate,SSEV,SSEV10
C000174,Thomas R. Carper,,116,senate,SSEV,SSEV10
B001261,John Barrasso,,116,senate,SSEV,SSEV10
C001047,Shelley Moore Capito,2019-01-28,116,senate,SSEV,SSEV08
C000141,Benjamin L. Cardin,,116,senate,SSEV,SSEV08
I000024,James M. Inhofe,,116,senate,SSEV,SSEV08
W000802,Sheldon Whitehouse,,116,senate,SSEV,SSEV08
R000605,Mike Rounds,,116,senate,SSEV,SSEV08
S001198,Dan Sullivan,,116,senate,SSEV,SSEV08
B001288,Cory Booker,,116,senate,SSEV,SSEV08
B001236,John Boozman,,116,senate,SSEV,SSEV08
W000437,Roger Wicker,,116,senate,SSEV,SSEV08
V000128,Chris Van Hollen,,116,senate,SSEV,SSEV08
S000320,Richard C. Shelby,,116,senate,SSEV,SSEV08
C000174,Thomas R. Carper,,116,senate,SSEV,SSEV08
B001261,John Barrasso,,116,senate,SSEV,SSEV08
C001056,John Cornyn,2019-01-31,116,senate,SSFI,SSFI13
C000880,Michael D. Crapo,2019-01-31,116,senate,SSFI,SSFI13
W000779,Ron Wyden,2019-01-31,116,senate,SSFI,SSFI13
R000307,Pat Roberts,2019-01-31,116,senate,SSFI,SSFI13
T000250,John Thune,2019-01-31,116,senate,SSFI,SSFI13
C000127,Maria Cantwell,2019-01-31,116,senate,SSFI,SSFI13
P000449,Rob Portman,2019-01-31,116,senate,SSFI,SSFI13
C000141,Benjamin L. Cardin,2019-01-31,116,senate,SSFI,SSFI13
T000461,Patrick J. Toomey,2019-01-31,116,senate,SSFI,SSFI13
W000805,Mark Warner,2019-01-31,116,senate,SSFI,SSFI13
C001075,Bill Cassidy,2019-01-31,116,senate,SSFI,SSFI13
D000618,Steve Daines,2019-01-31,116,senate,SSFI,SSFI13
B001267,Michael Bennet,2019-01-31,116,senate,SSFI,SSFI12
W000779,Ron Wyden,2019-01-31,116,senate,SSFI,SSFI12
C000880,Michael D. Crapo,2019-01-31,116,senate,SSFI,SSFI12
C000127,Maria Cantwell,2019-01-31,116,senate,SSFI,SSFI12
R000307,Pat Roberts,2019-01-31,116,senate,SSFI,SSFI12
C000174,Thomas R. Carper,2019-01-31,116,senate,SSFI,SSFI12
E000285,Michael B. Enzi,2019-01-31,116,senate,SSFI,SSFI12
W000802,Sheldon Whitehouse,2019-01-31,116,senate,SSFI,SSFI12
C001056,John Cornyn,2019-01-31,116,senate,SSFI,SSFI12
B001135,Richard M. Burr,2019-01-31,116,senate,SSFI,SSFI12
D000618,Steve Daines,2019-01-31,116,senate,SSFI,SSFI12
C001075,Bill Cassidy,2019-01-31,116,senate,SSFI,SSFI14
W000779,Ron Wyden,2019-01-31,116,senate,SSFI,SSFI14
T000461,Patrick J. Toomey,2019-01-31,116,senate,SSFI,SSFI10
C000127,Maria Cantwell,2019-01-31,116,senate,SSFI,SSFI10
R000307,Pat Roberts,2019-01-31,116,senate,SSFI,SSFI10
E000285,Michael B. Enzi,2019-01-31,116,senate,SSFI,SSFI10
C000174,Thomas R. Carper,2019-01-31,116,senate,SSFI,SSFI10
T000250,John Thune,2019-01-31,116,senate,SSFI,SSFI10
C000141,Benjamin L. Cardin,2019-01-31,116,senate,SSFI,SSFI10
B001135,Richard M. Burr,2019-01-31,116,senate,SSFI,SSFI10
W000805,Mark Warner,2019-01-31,116,senate,SSFI,SSFI10
C001075,Bill Cassidy,2019-01-31,116,senate,SSFI,SSFI10
W000802,Sheldon Whitehouse,2019-01-31,116,senate,SSFI,SSFI10
D000618,Steve Daines,2019-01-31,116,senate,SSFI,SSFI10
W000779,Ron Wyden,,116,senate,SSFI,SSFI10
P000449,Rob Portman,2019-01-31,116,senate,SSFI,SSFI02
B001267,Michael Bennet,2019-01-31,116,senate,SSFI,SSFI02
C001075,Bill Cassidy,2019-01-31,116,senate,SSFI,SSFI02
W000779,Ron Wyden,2019-01-31,116,senate,SSFI,SSFI02
W000805,Mark Warner,2019-01-31,116,senate,SSFI,SSFI11
T000250,John Thune,2019-01-31,116,senate,SSFI,SSFI11
C000880,Michael D. Crapo,2019-01-31,116,senate,SSFI,SSFI11
C000174,Thomas R. Carper,2019-01-31,116,senate,SSFI,SSFI11
