member_id,member_name,member_begin_date,congress,chamber,committee_id
C000141,Benjamin L. Cardin,,117,senate,SSSB
P000603,Rand Paul,,117,senate,SSSB
C000127,Maria Cantwell,,117,senate,SSSB
S001181,Jeanne Shaheen,,117,senate,SSSB
B001288,Cory Booker,,117,senate,SSSB
C001088,Christopher A. Coons,,117,senate,SSSB
I000024,James M. Inhofe,,117,senate,SSSB
D000622,Tammy Duckworth,,117,senate,SSSB
K000393,John Kennedy,,117,senate,SSSB
R000608,Jacky Rosen,,117,senate,SSSB
H000273,John Hickenlooper,,117,senate,SSSB
M001198,Roger Marshall,,117,senate,SSSB
G000359,Lindsey Graham,,117,senate,SSBU
M001111,Patty Murray,,117,senate,SSBU
W000779,Ron Wyden,,117,senate,SSBU
C000880,Michael D. Crapo,,117,senate,SSBU
T000461,Patrick J. Toomey,,117,senate,SSBU
W000802,Sheldon Whitehouse,,117,senate,SSBU
J000293,Ron Johnson,,117,senate,SSBU
W000805,Mark Warner,,117,senate,SSBU
S001217,Rick Scott,,117,senate,SSBU
K000384,Tim Kaine,,117,senate,SSBU
V000128,Chris Van Hollen,,117,senate,SSBU
K000393,John Kennedy,,117,senate,SSBU
G000359,Lindsey Graham,,117,senate,SSJU
F000062,Dianne Feinstein,,117,senate,SSJU
C001056,John Cornyn,,117,senate,SSJU
W000802,Sheldon Whitehouse,,117,senate,SSJU
C001098,Ted Cruz,,117,senate,SSJU
C001088,Christopher A. Coons,,117,senate,SSJU
B001277,Richard Blumenthal,,117,senate,SSJU
B001288,Cory Booker,,117,senate,SSJU
K000393,John Kennedy,,117,senate,SSJU
T000476,Thom Tillis,,117,senate,SSJU
M000934,Jerry Moran,,117,senate,SSVA
M001111,Patty Murray,,117,senate,SSVA
B001236,John Boozman,,117,senate,SSVA
C001075,Bill Cassidy,,117,senate,SSVA
R000605,Mike Rounds,,117,senate,SSVA
B001277,Richard Blumenthal,,117,senate,SSVA
T000476,Thom Tillis,,117,senate,SSVA
S001198,Dan Sullivan,,117,senate,SSVA
M001183,Joe Manchin III,,117,senate,SSVA
T000278,Tommy Tuberville,,117,senate,SSVA
C001088,Christopher A. Coons,,117,senate,SLET
S001181,Jeanne Shaheen,,117,senate,SLET
F000463,Deb Fischer,,117,senate,SLET
W000805,Mark Warner,,117,senate,SLIN
F000062,Dianne Feinstein,,117,senate,SLIN
B001135,Richard M. Burr,,117,senate,SLIN
W000779,Ron Wyden,,117,senate,SLIN
C001035,Susan Collins,,117,senate,SLIN
K000383,Angus King,,117,senate,SLIN
B000575,Roy Blunt,,117,senate,SLIN
B001267,Michael Bennet,,117,senate,SLIN
C001056,John Cornyn,,117,senate,SLIN
R000122,Jack Reed,,117,senate,SLIN
M000355,Mitch McConnell,,117,senate,SLIN
I000024,James M. Inhofe,,117,senate,SLIN
C001035,Susan Collins,,117,senate,SPAG
B001277,Richard Blumenthal,,117,senate,SPAG
B001135,Richard M. Burr,,117,senate,SPAG
W000817,Elizabeth Warren,,117,senate,SPAG
R000608,Jacky Rosen,,117,senate,SPAG
S001217,Rick Scott,,117,senate,SPAG
F000062,Dianne Feinstein,,117,senate,SCNC
C001056,John Cornyn,,117,senate,SCNC
